X,Y,Intersecti,Location,Longitude,Latitude,TSIs,TSIscont
-92.013194,30.20803,87.00000000000,ST MARY @ HEYMANN,-92.01319400000,30.20803000000,087_St Mary @ Heymann Layout1-A (1).pdf#\\Becky-34318\TSI - .pdf's\087_St Mary @ Heymann Layout1-A (1).pdf#,087_St Mary @ Heymann Layout1-B(1).pdf#\\Becky-34318\TSI - .pdf's\087_St Mary @ Heymann Layout1-B(1).pdf#
-92.013795,30.208483,88.00000000000,ST MARY @ COOLIDGE,-92.01379500000,30.20848300000,,
-92.016009,30.220523,89.00000000000,ST MARY @ TAFT,-92.01600900000,30.22052300000,,
-92.0177,30.21139,90.00000000000,ST MARY @ MCKINLEY/GIRARD PARK,-92.01770000000,30.21139000000,,
-92.019679,30.212926,91.00000000000,ST MARY @ HEBRARD,-92.01967900000,30.21292600000,,
-92.026315,30.217882,92.00000000000,ST MARY @ ST LANDRY,-92.02631500000,30.21788200000,,
-92.002581,30.226809,93.00000000000,SURREY @ 12TH,-92.00258100000,30.22680900000,,
-92.016567,30.224024,94.00000000000,VERMILION @ LEE,-92.01656700000,30.22402400000,,
-92.014444,30.218148,95.00000000000,JEFFERSON @ LAMAR,-92.01444400000,30.21814800000,,
-92.027097,30.245763,96.00000000000,WILLOW @ CORA,-92.02709700000,30.24576300000,,
-92.026651,30.152634,97.00000000000,VEROT SCHOOL @ DIGBY,-92.02665100000,30.15263400000,,
-92.034288,30.168688,98.00000000000,KALISTE @ RIVER RANCH,-92.03428800000,30.16868800000,,
-92.053629,30.18712,99.00000000000,CAMELLIA @ CAMBRIDGE,-92.05362900000,30.18712000000,,
-92.07007,30.198256,100.00000000000,CONGRESS @ GUILBEAU,-92.07007000000,30.19825600000,,
-92.018597,30.200826,102.00000000000,BENDEL @ MARGUERITE,-92.01859700000,30.20082600000,,
-92.004122,30.180332,104.00000000000,PINHOOK @ SAGE GLENN,-92.00412200000,30.18033200000,,
-92.024926,30.230551,105.00000000000,SIMCOE @ ST ANTOINE,-92.02492600000,30.23055100000,,
-92.024925,30.238185,106.00000000000,ST ANTOINE @ MADELINE,-92.02492500000,30.23818500000,,
-92.025527,30.249668,107.00000000000,MLK @ ST ANTOINE,-92.02552700000,30.24966800000,,
-92.020575,30.165348,109.00000000000,VEROT SCHOOL @ RUE LOUIS XIV,-92.02057500000,30.16534800000,,
-92.00236,30.176732,112.00000000000,PINHOOK @ VEROT SCHOOL,-92.00236000000,30.17673200000,,
-92.048334,30.156484,113.00000000000,AMBASSADOR @ KALISTE,-92.04833400000,30.15648400000,,
-92.049271,30.218245,114.00000000000,BERTRAND @ DEVALCOURT,-92.04927100000,30.21824500000,,
-92.029834,30.172837,115.00000000000,KALISTE SALOOM @ RUE LOUIS XIV,-92.02983400000,30.17283700000,,
-92.02247,30.180186,116.00000000000,KALISTE @ BEADLE,-92.02247000000,30.18018600000,,
-92.017253,30.182888,117.00000000000,KALISTE @ E. BAYOU/FEU FOLLET,-92.01725300000,30.18288800000,,
-92.039816,30.164768,118.00000000000,KALISTE @ MARTIAL,-92.03981600000,30.16476800000,,
-92.005421,30.195733,119.00000000000,KALISTE @ HUGH WALLIS,-92.00542100000,30.19573300000,,
-92.079563,30.173243,123.00000000000,JOHNSTON @ GOUDCHAUX,-92.07956300000,30.17324300000,,
-92.070164,30.182425,124.00000000000,JOHNSTON @ WESTMARK,-92.07016400000,30.18242500000,,
-92.077582,30.175176,125.00000000000,JOHNSTON @ SEARS,-92.07758200000,30.17517600000,,
-92.052114,30.202339,127.00000000000,JOHNSTON @ FOREMAN/WOODVALE,-92.05211400000,30.20233900000,,
-92.033822,30.209198,128.00000000000,JOHNSTON @ CAJUNDOME/TWINOAKS,-92.03382200000,30.20919800000,,
-92.004598,30.228226,129.00000000000,LOUISIANA @ SURREY,-92.00459800000,30.22822600000,,
-92.003017,30.230001,130.00000000000,LOUISIANA @ SIMCOE,-92.00301700000,30.23000100000,,
-92.000348,30.245532,131.00000000000,LOUISIANA @ WILLOW,-92.00034800000,30.24553200000,,
-91.999435,30.255102,132.00000000000,LOUISIANA @ ALEXANDER,-91.99943500000,30.25510200000,,
-91.988932,30.244028,133.00000000000,WILLOW @ TEURLINGS,-91.98893200000,30.24402800000,,
-91.992703,30.233397,134.00000000000,PINHOOK @ CARMEL,-91.99270300000,30.23339700000,,
-92.005913,30.248238,135.00000000000,MOSS @ CASTILLE,-92.00591300000,30.24823800000,,
-92.017408,30.245196,136.00000000000,WILLOW @ PIERCE,-92.01740800000,30.24519600000,,
-92.023368,30.245587,137.00000000000,WILLOW @ ST ANTOINE,-92.02336800000,30.24558700000,,
-92.013821,30.254249,138.00000000000,UNIVERSITY @ LA 723 RENAUD,-92.01382100000,30.25424900000,,
-92.035713,30.250707,139.00000000000,UNIVERSITY @ I-10 EB,-92.03571300000,30.25070700000,,
-92.036362,30.251861,140.00000000000,UNIVERSITY @ I-10 WB,-92.03636200000,30.25186100000,,
-92.032744,30.244492,141.00000000000,UNIVERSITY @ WILLOW,-92.03274400000,30.24449200000,,
-92.062469,30.233061,142.00000000000,AMBASSADOR @ CAMERON,-92.06246900000,30.23306100000,,
-92.01639,30.199103,146.00000000000,PINHOOK @ BENDEL,-92.01639000000,30.19910300000,,
-92.08355,30.195855,147.00000000000,CONGRESS @ DOMINGUE,-92.08355000000,30.19585500000,,
-92.075858,30.219127,148.00000000000,AMBASSADOR @ ERASTE LANDRY,-92.07585800000,30.21912700000,,
-92.07565,30.210529,149.00000000000,AMBASSADOR @ DULLES,-92.07565000000,30.21052900000,,
-92.075254,30.202471,150.00000000000,AMBASSADOR @ GUILBEAU,-92.07525400000,30.20247100000,,
-92.075205,30.195991,151.00000000000,AMBASSADOR @ CONGRESS,-92.07520500000,30.19599100000,,
-92.074993,30.18133,152.00000000000,AMBASSADOR @ RIDGE,-92.07499300000,30.18133000000,,
-92.066143,30.171169,153.00000000000,AMBASSADOR @ ROBLEY,-92.06614300000,30.17116900000,153-AmbRobley Model (1)-A.pdf#\\Becky-34318\TSI - .pdf's\153-AmbRobley Model (1)-A.pdf#,153-AmbRobley Model (1)-B.pdf#\\Becky-34318\TSI - .pdf's\153-AmbRobley Model (1)-B.pdf#
-92.060954,30.166893,154.00000000000,AMBASSADOR @ DOVER,-92.06095400000,30.16689300000,,
-92.041213,30.218805,155.00000000000,CONGRESS @ CAJUNDOME,-92.04121300000,30.21880500000,,
-92.011313,30.215947,157.00000000000,JEFFERSON @ TAFT,-92.01131300000,30.21594700000,,
-92.051322,30.184218,159.00000000000,CAMELLIA @ MT VERNON/ACADEMY,-92.05132200000,30.18421800000,,
-92.012939,30.230515,160.00000000000,NB THRUWAY @ 2ND,-92.01293900000,30.23051500000,,
-92.013415,30.230326,161.00000000000,SB THRUWAY @ 2ND,-92.01341500000,30.23032600000,,
-92.005487,30.208419,165.00000000000,UNIVERSITY @ GENERAL MOUTON,-92.00548700000,30.20841900000,,
-92.00732,30.294781,167.00000000000,MOSS @ GLORIA SWITCH,-92.00732000000,30.29478100000,,
-92.000663,30.205612,169.00000000000,THRUWAY @ TOWER,-92.00066300000,30.20561200000,,
-91.999885,30.20078,170.00000000000,THRUWAY @ KALISTE,-91.99988500000,30.20078000000,,
-92.06231,30.228475,171.00000000000,AMBASSADOR @ BERTRAND,-92.06231000000,30.22847500000,,
-92.069833,30.174213,172.00000000000,AMBASSADOR @ DILLARD,-92.06983300000,30.17421300000,,
-91.989827,30.182808,173.00000000000,THRUWAY @ VEROT SCHOOL,-91.98982700000,30.18280800000,,
-91.991556,30.161042,174.00000000000,PINHOOK @ SOUTHPARK,-91.99155600000,30.16104200000,,
-91.979831,30.171388,175.00000000000,THRUWAY @ SOUTHPARK,-91.97983100000,30.17138800000,,
-92.070773,30.174988,176.00000000000,AMBASSADOR @ TUCKER,-92.07077300000,30.17498800000,,
-92.05469,30.224059,177.00000000000,BERTRAND @ ERASTE LANDRY,-92.05469000000,30.22405900000,,
-92.092023,30.195792,178.00000000000,CONGRESS @ LA 93 RUE DE BELIER,-92.09202300000,30.19579200000,,
-92.009347,30.184698,179.00000000000,PINHOOK @ CORPORATE/PINEHURST,-92.00934700000,30.18469800000,,
-92.016064,30.194382,180.00000000000,PINHOOK @ LA RUE FRANCE/JOE OLIVER,-92.01606400000,30.19438200000,,
-92.040591,30.150131,181.00000000000,AMBASSADOR @ FERM BOUSTANY,-92.04059100000,30.15013100000,,
-92.028919,30.200771,182.00000000000,COLLEGE @ BACQUE CRESENT/COULEE SHORE,-92.02891900000,30.20077100000,,
-92.01299,30.240253,183.00000000000,NB THRUWAY @ DONLON,-92.01299000000,30.24025300000,,
-92.01299,30.240253,184.00000000000,SB THRUWAY @ DONLON,-92.01299000000,30.24025300000,184_SBThwy@Donlon Layout1-A (1).pdf#\\Becky-34318\TSI - .pdf's\184_SBThwy@Donlon Layout1-A (1).pdf#,
-92.065591,30.244894,185.00000000000,AMBASSADOR @ I-10 W,-92.06559100000,30.24489400000,,
-92.066244,30.243239,186.00000000000,AMBASSADOR @ WILLOW,-92.06624400000,30.24323900000,,
-92.018781,30.227746,187.00000000000,3RD @ PIERCE GARFIELD 2ND,-92.01878100000,30.22774600000,,
-92.032533,30.145836,188.00000000000,AMBASSADOR @ VEROT SCHOOL,-92.03253300000,30.14583600000,,
-92.075083,30.19147,189.00000000000,AMBASSADOR @ BONAIRE,-92.07508300000,30.19147000000,,
-92.00966,30.193555,190.00000000000,COLLEGE @ KALISTE,-92.00966000000,30.19355500000,,
-92.052199,30.22256,191.00000000000,BERTRAND @ DULLES BILLEAU,-92.05219900000,30.22256000000,,
-92.049715,30.212986,192.00000000000,CONGRESS @ THEATER,-92.04971500000,30.21298600000,,
-92.074979,30.184397,194.00000000000,AMBASSADOR @ WESTMARK,-92.07497900000,30.18439700000,,
-92.046929,30.227787,195.00000000000,ERASTE LANDRY @ CAJUNDOME,-92.04692900000,30.22778700000,,
-92.063161,30.214465,196.00000000000,DULLES @ FOREMAN,-92.06316100000,30.21446500000,,
-92.016977,30.215789,197.00000000000,UNIVERSITY @ HEBRARD,-92.01697700000,30.21578900000,,
-92.082879,30.167137,199.00000000000,JOHNSTON @ DUHON ROAD,-92.08287900000,30.16713700000,,
-91.997987,30.165645,200.00000000000,PINHOOK @ BEAU PRE,-91.99798700000,30.16564500000,,
-91.995904,30.164096,201.00000000000,PINHOOK @ BONIN,-91.99590400000,30.16409600000,,
-92.992605,30.272294,202.00000000000,LOUISIANA @ PONT DES MOUTON,-92.99260500000,30.27229400000,,
-92.992432,30.26863,203.00000000000,LOUISIANA @ WB I-10 RAMP,-92.99243200000,30.26863000000,,
-92.049477,30.275891,204.00000000000,UNIVERSITY @ PONT DES MOUTON,-92.04947700000,30.27589100000,,
-92.035791,30.167269,205.00000000000,CAMELLIA @ KALISTE,-92.03579100000,30.16726900000,,
-92.022593,30.160365,206.00000000000,VEROT SCHOOL @ CAMELLIA,-92.02259300000,30.16036500000,,
-92.02448,30.295537,207.00000000000,E GLORIA SWITCH @ I-49 NB RAMP,-92.02448000000,30.29553700000,207-E-Gloria-NB-Ramp Model -A(1).pdf#\\Becky-34318\TSI - .pdf's\207-E-Gloria-NB-Ramp Model -A(1).pdf#,
-92.023611,30.295499,208.00000000000,E GLORIA SWITCH @ I-49 FRONTAGE RD,-92.02361100000,30.29549900000,,
-92.07493,30.188366,210.00000000000,AMBASSADOR @ WALMART ACCESS RD,-92.07493000000,30.18836600000,,
-92.012788,30.24981,211.00000000000,THRUWAY @ CASTILLE,-92.01278800000,30.24981000000,211_Evangeline Thwy @ Castille-TSI-Proposed Layout1 (1).pdf#\\Becky-34318\TSI - .pdf's\211_Evangeline Thwy @ Castille-TSI-Proposed Layout1 (1).pdf#,
-92.052001,30.159753,213.00000000000,AMBASSADOR @ Settlers trace,-92.05200100000,30.15975300000,,
-92.042499,30.166829,214.00000000000,MARTIAL @ SETTLERS TRACE,-92.04249900000,30.16682900000,,
-92.038837,30.170069,215.00000000000,CAMELLIA @ SETTLERS TRACE,-92.03883700000,30.17006900000,,
-92.040025,30.172986,216.00000000000,CAMELLIA @ SILVERSTONE,-92.04002500000,30.17298600000,,
-92.045517,30.159331,120.00000000000,KALISTE SALOOM @ LAKE FARM RD,-92.04551700000,30.15933100000,,
-92.044339,30.153175,193.00000000000,AMBASSADOR @ CRESENT RANCH BLVD,-92.04433900000,30.15317500000,,
-92.075027,30.18687,198.00000000000,AMBASSADOR @ VA CLINIC,-92.07502700000,30.18687000000,,
