devicenum,organization,organizationdevicenum,site,address,longitude,latitude,uniqueidentifier,stathingid,stadatastreamid,iotdeviceid,iotprimarythumbnail,iotsecondarythumbnail,mqttgateway,mqttgroup
175,Intersections,58,MOSS @ PINE,"100,E Pine St,Lafayette,LA,US,70501",-92.006191,30.246140999999998,,,,,,,0,8
176,Intersections,59,MOSS @ WILLOW,"348-398,E Willow St,Lafayette,LA,US,70501",-92.006362,30.243787,,,,,,,0,8
177,Intersections,60,MOSS @ MUDD,"801,Mudd Ave,Lafayette,LA,US,70501",-92.008756,30.232478000000004,,,,,,,0,8
178,Intersections,61,JEFFERSON @ CYPRESS,"103,E Cypress St,Lafayette,LA,US,70501",-92.01576,30.227292,,,,,,,0,8
179,Intersections,62,JEFFERSON @ GARFIELD,"323,Jefferson St,Lafayette,LA,US,70501",-92.01739,30.226603000000004,,,,,,,0,8
180,Intersections,63,JEFFERSON @ CONGRESS,"433-499,Jefferson St,Lafayette,LA,US,70501",-92.018336,30.225697999999998,,,,,,,0,8
181,Intersections,64,JEFFERSON @ VERMILION,"109,E Vermilion St,Lafayette,LA,US,70501",-92.018776,30.224073999999998,,,,,,,0,8
182,Intersections,65,UNIVERSITY @ LEE,"1255-1299,Lee Ave,Lafayette,LA,US,70501",-92.020661,30.218559999999997,,,,,,,0,8
183,Intersections,66,BERTRAND @ BANKS,"136,Banks Ave,Lafayette,LA,US,70506",-92.060736,30.227120000000003,,,,,,,0,8
184,Intersections,67,UNIVERSITY @ ST JOHN/ST LANDRY,"518,W University Ave,Lafayette,LA,US,70506",-92.022768,30.220144,,,,,,,0,8
185,Intersections,68,UNIVERSITY @ CONGRESS,"1229-1299,W Congress St,Lafayette,LA,US,70501",-92.028279,30.226078,,,,,,,0,8
186,Intersections,69,UNIVERSITY @ CAMERON,"1507,Cameron St,Lafayette,LA,US,70506",-92.03234,30.232349,,,,,,,0,8
187,Intersections,70,UNIVERSITY @ MADELINE,"716,N University Ave,Lafayette,LA,US,70506",-92.03241,30.239067,,,,,,,0,8
188,Intersections,71,CAMERON @ ST JOHN,"698,US-90,Lafayette,LA,US,70501",-92.02283800000001,30.231856,,,,,,,0,8
