devicenum,locationgroup,locationgroupdevicenum,location,address,longitude,latitude,uniqueidentifier,stathingid,stadatastreamid,iotdeviceid,iotprimarythumbnail,iotsecondarythumbnail
99,Lafayette Parks and Recreation,18,Graham Brown Memorial Park,"1234 E. Pont des Mouton Rd.,Lafayette, LA 70507     ",,,,,,,,
100,Lafayette Parks and Recreation,19,Heymann Memorial Park,"1500 South Orange St.,Lafayette, LA 70501",,,,,,,,
101,Lafayette Parks and Recreation,20,I.R. Bud Chalmers Park,"2129 N. University,Lafayette, LA 70507",,,,,,,,
102,Lafayette Parks and Recreation,21,I.R. Bud Chalmers Park,"2129 N. University,Lafayette, LA 70507",,,,,,,,
103,Lafayette Parks and Recreation,22,J. W. James Park,"1010 Hopkins St.,Lafayette, LA 70501",,,,,,,,
104,Lafayette Parks and Recreation,23,Judice Park,"500 Golden Grain Rd.,Duson, LA ",,,,,,,,
105,Lafayette Parks and Recreation,24,Lil Woods Park,"200 Ile De Copales Ave.,Lafayette, LA 70501",,,,,,,,
106,Lafayette Parks and Recreation,25,Maurice Heymann Memorial,"700 Girard Park Dr.,Lafayette, LA 70503",,,,,,,,
107,Lafayette Parks and Recreation,26,Moore Park ,"250 Couret Dr.,Lafayette, LA 70507",,,,,,,,
108,Lafayette Parks and Recreation,27,Mouton Park,"803 Center St.,Lafayette, LA",,,,,,,,
109,Lafayette Parks and Recreation,28,Pa Davis Park,"120 Dawn St.,Lafayette, LA 70501",,,,,,,,
110,Lafayette Parks and Recreation,29,Parc de Lafayette,"539 Jefferson St.,Lafayette, LA 70501",,,,,,,,
111,Lafayette Parks and Recreation,30,Parc Sans Souci,"201 E. Vermillion St.,Lafayette, LA 70501",,,,,,,,
112,Lafayette Parks and Recreation,31,Picard Park,"130 Park Ln.,Lafayette, LA 70508",,,,,,,,
113,Lafayette Parks and Recreation,32,Plantation Park,"1801 Kaliste Saloom Rd.,Lafayette, LA 70508  ",,,,,,,,
114,Lafayette Parks and Recreation,33,Scott Park,"1200 Cormier St.,Scott, LA 70583",,,,,,,,
